epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3362,1.59863,4.1411,1.06478,0.00517,0.13636,0.01332,0.01114,1.60138,3.71722,1.04285,5.001e-05,5.001e-05,5.001e-05
2,12.6588,1.49771,3.88731,1.09269,0.0162,0.40236,0.0229,0.01629,1.65789,3.6789,1.04072,0.00011438,0.00011438,0.00011438
3,14.9613,1.69724,3.36577,1.01727,0.02795,0.70034,0.05327,0.03239,1.82771,3.61196,1.06975,0.000176109,0.000176109,0.000176109
4,17.395,1.63199,3.09101,0.94388,0.03401,0.85017,0.07808,0.03861,1.66499,3.44435,1.02618,0.000235197,0.000235197,0.000235197
5,19.7101,1.54493,2.27764,0.97018,0.03538,0.88721,0.09767,0.03909,1.61075,3.41421,1.01865,0.000291645,0.000291645,0.000291645
6,22.0494,1.49897,2.94784,0.99915,0.03682,0.92088,0.07711,0.03763,1.53335,3.35471,1.01273,0.000345452,0.000345452,0.000345452
7,24.2079,1.42194,2.08445,0.97864,0.03633,0.90236,0.08101,0.03814,1.47535,3.38553,1.00805,0.000396619,0.000396619,0.000396619
8,26.5075,1.34899,2.0127,0.96388,0.03501,0.86869,0.0749,0.04246,1.54718,3.33456,1.02981,0.000445146,0.000445146,0.000445146
9,28.8074,1.34201,2.09109,1.02399,0.0368,0.92088,0.13508,0.05746,1.52314,3.15654,1.01751,0.000491032,0.000491032,0.000491032
10,31.0248,1.42609,1.95707,0.98891,0.03486,0.86869,0.08442,0.04995,1.50788,3.17608,1.02582,0.000534277,0.000534277,0.000534277
11,33.2662,1.3778,1.94569,0.99343,0.03478,0.86532,0.08105,0.05221,1.5794,3.20234,0.99862,0.000574882,0.000574882,0.000574882
12,35.4655,1.43251,2.04089,0.99914,0.03665,0.91751,0.08716,0.05666,1.4871,3.15294,0.99652,0.000612846,0.000612846,0.000612846
13,37.8434,1.33367,1.95996,0.95409,0.03139,0.7862,0.09567,0.06109,1.47607,3.23145,1.03869,0.00064817,0.00064817,0.00064817
14,40.0573,1.38044,1.65411,0.97589,0.03072,0.77104,0.17542,0.09523,1.49389,3.21019,1.048,0.000680853,0.000680853,0.000680853
15,42.4583,1.37377,2.13334,0.98068,0.03904,0.9697,0.31893,0.16874,1.4864,2.94835,1.0428,0.000710895,0.000710895,0.000710895
16,45.0455,1.44762,1.77812,0.97561,0.03514,0.87205,0.14312,0.07731,1.59087,3.15499,1.05166,0.000738298,0.000738298,0.000738298
17,47.3527,1.47439,1.93447,0.94794,0.0279,0.69192,0.08188,0.04936,1.78717,3.3458,1.1258,0.000763059,0.000763059,0.000763059
18,49.8713,1.43014,1.80014,0.97426,0.03956,0.98485,0.42081,0.22407,1.41518,2.78783,1.01366,0.00078518,0.00078518,0.00078518
19,52.2382,1.39015,1.80911,1.00213,0.03959,0.98485,0.47063,0.26207,1.43658,2.56102,1.03003,0.000804661,0.000804661,0.000804661
20,54.5532,1.29966,1.61456,0.93716,0.03744,0.90236,0.45203,0.26315,1.48244,2.61808,1.04924,0.000821501,0.000821501,0.000821501
21,56.9138,1.3712,1.70271,0.97054,0.68986,0.15283,0.30896,0.16542,1.61513,2.97946,1.10672,0.0008357,0.0008357,0.0008357
22,59.2813,1.34567,1.68107,0.96603,0.71025,0.07984,0.27004,0.14934,1.49196,3.05289,1.02266,0.000847259,0.000847259,0.000847259
23,61.5313,1.31353,1.52029,0.93821,0.62043,0.09717,0.22697,0.12622,1.49266,3.09692,1.03397,0.000856178,0.000856178,0.000856178
24,63.8041,1.31414,1.63124,0.94733,0.63837,0.14009,0.34057,0.19239,1.46392,2.74535,1.01384,0.000862456,0.000862456,0.000862456
25,66.0737,1.25524,1.59127,0.93477,0.81928,0.22896,0.45484,0.27823,1.35678,2.40579,0.98054,0.000866093,0.000866093,0.000866093
26,68.2784,1.33459,1.6387,0.94571,0.78713,0.21962,0.5674,0.34564,1.34892,2.17607,0.97721,0.000841835,0.000841835,0.000841835
27,70.4983,1.34566,1.60003,0.93979,0.78732,0.49806,0.76411,0.48344,1.35379,1.86737,0.96311,0.000808828,0.000808828,0.000808828
28,72.6422,1.31663,1.53891,0.95952,0.69309,0.62817,0.82231,0.51623,1.34928,1.64187,0.96131,0.000775822,0.000775822,0.000775822
29,74.8107,1.31615,1.48475,0.93332,0.76584,0.65488,0.83374,0.50884,1.35377,1.47162,0.9603,0.000742815,0.000742815,0.000742815
30,77.0566,1.29149,1.46751,0.92032,0.80136,0.73064,0.8483,0.51267,1.34584,1.39567,0.95741,0.000709809,0.000709809,0.000709809
31,79.2474,1.40468,1.729,0.93802,0.80882,0.7207,0.81793,0.52009,1.33387,1.39121,0.96323,0.000676802,0.000676802,0.000676802
32,81.4321,1.20403,1.49616,0.91864,0.73114,0.72142,0.82471,0.50742,1.33277,1.39413,0.9667,0.000643795,0.000643795,0.000643795
33,83.594,1.26185,1.45943,0.93569,0.701,0.7401,0.80552,0.51289,1.2717,1.34641,0.95401,0.000610789,0.000610789,0.000610789
34,85.9134,1.29715,1.51108,0.9351,0.66793,0.75746,0.77864,0.50083,1.2504,1.31306,0.94595,0.000577782,0.000577782,0.000577782
35,88.2498,1.27181,1.43601,0.90637,0.72119,0.74074,0.81154,0.52584,1.24004,1.26502,0.94661,0.000544776,0.000544776,0.000544776
