epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.45,1.50862,3.15161,1.1891,0.43337,0.45884,0.3016,0.19821,1.18409,1.95543,1.02164,0.000165278,0.000165278,0.000165278
2,497.931,1.22049,1.67548,1.02821,0.45631,0.71947,0.47747,0.34624,1.00592,1.37129,0.94611,0.000325372,0.000325372,0.000325372
3,735.186,1.12733,1.42165,0.99078,0.47747,0.77826,0.48937,0.35471,0.98866,1.27564,0.93625,0.000478866,0.000478866,0.000478866
4,936.205,1.07414,1.3397,0.97409,0.46926,0.79795,0.54119,0.40651,0.94081,1.24623,0.91905,0.0004703,0.0004703,0.0004703
5,1158.27,1.05288,1.29167,0.96668,0.48221,0.7987,0.52325,0.39134,0.92428,1.2112,0.91201,0.0004604,0.0004604,0.0004604
6,1361.4,1.01408,1.24756,0.95661,0.47935,0.8371,0.50727,0.3791,0.93243,1.19281,0.9108,0.0004505,0.0004505,0.0004505
7,1589.1,1.00488,1.23035,0.95235,0.48535,0.82856,0.53252,0.40744,0.89095,1.15116,0.90439,0.0004406,0.0004406,0.0004406
8,1672.65,0.97867,1.20727,0.94801,0.49086,0.8299,0.56418,0.43462,0.88325,1.20196,0.90114,0.0004307,0.0004307,0.0004307
9,1778.33,0.97643,1.19282,0.94352,0.51602,0.83244,0.60812,0.47387,0.87752,1.14254,0.90124,0.0004208,0.0004208,0.0004208
10,1836.54,0.95729,1.15801,0.93878,0.54641,0.80505,0.61968,0.48296,0.87476,1.09456,0.89876,0.0004109,0.0004109,0.0004109
11,1893.41,0.95878,1.13767,0.94152,0.58069,0.81305,0.66068,0.52074,0.86559,1.08031,0.89838,0.000401,0.000401,0.000401
12,1974.25,0.94093,1.10802,0.93581,0.60928,0.79777,0.69008,0.54329,0.86408,1.07224,0.8961,0.0003911,0.0003911,0.0003911
13,2082.09,0.93109,1.07747,0.93073,0.69174,0.7691,0.75863,0.60822,0.84591,1.01214,0.89199,0.0003812,0.0003812,0.0003812
14,2156.05,0.92823,1.0488,0.93117,0.69144,0.7788,0.76789,0.5997,0.87568,1.02518,0.89919,0.0003713,0.0003713,0.0003713
15,2214.38,0.92768,1.04247,0.93211,0.74972,0.81877,0.8142,0.64678,0.84036,0.99056,0.89217,0.0003614,0.0003614,0.0003614
