epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.01,1.42226,2.5486,1.13386,0.48088,0.65206,0.4301,0.30065,1.11249,1.49938,0.98585,0.000236081,0.000236081,0.000236081
2,196.624,1.15798,1.44091,0.99513,0.5087,0.76725,0.50963,0.36376,1.02607,1.3168,0.94151,0.000464694,0.000464694,0.000464694
3,258.885,1.08993,1.3293,0.97185,0.46265,0.78081,0.50382,0.35776,1.00933,1.26196,0.92565,0.000683882,0.000683882,0.000683882
4,314.633,1.05889,1.26399,0.95877,0.51333,0.80439,0.5627,0.42292,0.95051,1.2006,0.92106,0.000671588,0.000671588,0.000671588
5,395.394,1.02613,1.22059,0.95119,0.53886,0.83323,0.59597,0.45327,0.92309,1.14457,0.90377,0.000657451,0.000657451,0.000657451
6,457.092,0.99482,1.18564,0.94157,0.50823,0.81874,0.57509,0.43364,0.93977,1.13664,0.91187,0.000643314,0.000643314,0.000643314
7,513.625,0.98721,1.16997,0.93807,0.54593,0.84129,0.60245,0.46378,0.90895,1.11201,0.899,0.000629177,0.000629177,0.000629177
8,570.255,0.96581,1.14517,0.93674,0.58357,0.80017,0.64342,0.48887,0.91603,1.09073,0.90238,0.00061504,0.00061504,0.00061504
9,657.347,0.9603,1.12545,0.93241,0.57804,0.83523,0.65493,0.51235,0.91113,1.07687,0.90417,0.000600902,0.000600902,0.000600902
10,713.51,0.94796,1.08134,0.92997,0.65184,0.79878,0.7497,0.60555,0.89251,1.03496,0.89456,0.000586765,0.000586765,0.000586765
11,769.106,0.9463,1.06412,0.92908,0.75691,0.81939,0.80099,0.64504,0.88001,1.00032,0.89272,0.000572628,0.000572628,0.000572628
12,824.609,0.92579,1.03483,0.9235,0.69539,0.81323,0.78799,0.62533,0.89006,1.01861,0.89865,0.000558491,0.000558491,0.000558491
13,881.571,0.92797,1.02868,0.92359,0.73711,0.82611,0.80761,0.65615,0.88325,1.00112,0.89334,0.000544354,0.000544354,0.000544354
14,937.082,0.92427,1.00405,0.92177,0.71054,0.81535,0.79847,0.65154,0.86217,0.97231,0.88525,0.000530216,0.000530216,0.000530216
