epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.71,1.41791,2.62725,1.12762,0.49602,0.5727,0.35258,0.23515,1.0955,1.48918,0.97701,0.000206897,0.000206897,0.000206897
2,173.151,1.14906,1.45966,0.98704,0.44146,0.72499,0.45667,0.32505,1.00127,1.32409,0.92895,0.000407008,0.000407008,0.000407008
3,239.724,1.09104,1.34528,0.96859,0.45019,0.70724,0.49826,0.37571,0.93531,1.26029,0.90757,0.00059887,0.00059887,0.00059887
4,306.096,1.05133,1.27448,0.95611,0.45445,0.74831,0.51216,0.38582,0.92873,1.20207,0.90894,0.000587875,0.000587875,0.000587875
5,426.336,1.02301,1.23671,0.94957,0.47197,0.76704,0.52775,0.39961,0.92267,1.1717,0.90756,0.0005755,0.0005755,0.0005755
6,492.689,1.00626,1.19681,0.94075,0.48335,0.80212,0.53931,0.41735,0.89306,1.14333,0.89255,0.000563125,0.000563125,0.000563125
7,637.35,0.98083,1.16569,0.93693,0.52832,0.7947,0.5916,0.46023,0.8824,1.0968,0.89382,0.00055075,0.00055075,0.00055075
8,871.84,0.97262,1.14476,0.93306,0.53229,0.80133,0.64894,0.51962,0.87498,1.06667,0.88398,0.000538375,0.000538375,0.000538375
9,937.994,0.96279,1.10174,0.93285,0.59341,0.79208,0.7002,0.555,0.88321,1.07906,0.89264,0.000526,0.000526,0.000526
10,1063.22,0.95199,1.07849,0.92932,0.68208,0.79064,0.72825,0.58638,0.85905,1.01363,0.88832,0.000513625,0.000513625,0.000513625
11,1163.8,0.93686,1.04892,0.92624,0.66818,0.80055,0.74612,0.60221,0.85234,1.00047,0.89175,0.00050125,0.00050125,0.00050125
12,1254.25,0.9299,1.028,0.92463,0.72016,0.83044,0.75945,0.62145,0.83963,0.96074,0.88151,0.000488875,0.000488875,0.000488875
13,1362.29,0.92342,1.01549,0.92307,0.72167,0.78788,0.76653,0.61601,0.85279,0.9701,0.88523,0.0004765,0.0004765,0.0004765
14,1428.53,0.91483,0.99201,0.91801,0.71551,0.83134,0.76362,0.62231,0.82476,0.96282,0.87788,0.000464125,0.000464125,0.000464125
15,1579.4,0.9134,0.97154,0.91793,0.698,0.81403,0.75769,0.62017,0.8379,0.95443,0.87834,0.00045175,0.00045175,0.00045175
16,1725.86,0.91321,0.96256,0.91616,0.74019,0.83342,0.77903,0.64019,0.84004,0.93332,0.87773,0.000439375,0.000439375,0.000439375
17,1792.25,0.90015,0.94338,0.91506,0.75304,0.84784,0.78924,0.65727,0.81702,0.91264,0.87094,0.000427,0.000427,0.000427
18,1917.91,0.89138,0.9335,0.91007,0.74571,0.84436,0.78858,0.64943,0.8163,0.91551,0.87104,0.000414625,0.000414625,0.000414625
19,2003.69,0.88203,0.92546,0.91189,0.76335,0.8286,0.78747,0.65259,0.81552,0.90245,0.87469,0.00040225,0.00040225,0.00040225
20,2091.95,0.88235,0.92011,0.91119,0.76392,0.84391,0.78946,0.65099,0.81271,0.89191,0.87018,0.000389875,0.000389875,0.000389875
21,2203.45,0.88174,0.90982,0.90808,0.74694,0.84548,0.78951,0.65353,0.80947,0.89919,0.86819,0.0003775,0.0003775,0.0003775
22,2296.2,0.8709,0.89694,0.90793,0.77261,0.86699,0.80277,0.6789,0.78651,0.86647,0.86401,0.000365125,0.000365125,0.000365125
23,2439.06,0.86841,0.88993,0.90717,0.74799,0.86067,0.7909,0.66103,0.794,0.87685,0.86539,0.00035275,0.00035275,0.00035275
24,2508.08,0.86511,0.87921,0.90412,0.77806,0.87197,0.79735,0.67582,0.79334,0.85988,0.86562,0.000340375,0.000340375,0.000340375
25,2595.07,0.86085,0.87663,0.90648,0.76935,0.86408,0.79837,0.66787,0.79387,0.86981,0.86574,0.000328,0.000328,0.000328
26,2683.84,0.86042,0.8738,0.9038,0.79288,0.86026,0.80451,0.68267,0.78155,0.85166,0.86236,0.000315625,0.000315625,0.000315625
27,2841.46,0.854,0.86786,0.90253,0.77305,0.86013,0.80145,0.67593,0.78783,0.85381,0.86301,0.00030325,0.00030325,0.00030325
28,3006.03,0.8498,0.85927,0.90174,0.77735,0.88216,0.80708,0.6839,0.78748,0.84243,0.86153,0.000290875,0.000290875,0.000290875
29,3073.72,0.84863,0.85632,0.90113,0.77931,0.86318,0.80661,0.68567,0.78703,0.84418,0.86201,0.0002785,0.0002785,0.0002785
30,3192.58,0.84394,0.8466,0.90069,0.77253,0.87085,0.80387,0.68452,0.77878,0.83756,0.86026,0.000266125,0.000266125,0.000266125
31,3285.67,0.84251,0.84287,0.90076,0.77974,0.87748,0.81152,0.68812,0.78121,0.83629,0.86138,0.00025375,0.00025375,0.00025375
32,3428.44,0.83714,0.84186,0.89774,0.78815,0.8709,0.80918,0.69238,0.76925,0.82967,0.85921,0.000241375,0.000241375,0.000241375
33,3497.81,0.83159,0.83461,0.89803,0.79084,0.88287,0.81011,0.69395,0.77023,0.8251,0.85707,0.000229,0.000229,0.000229
34,3565.57,0.83269,0.82694,0.89798,0.78071,0.88815,0.81416,0.69926,0.77039,0.81282,0.85911,0.000216625,0.000216625,0.000216625
35,3663.59,0.8247,0.82116,0.89639,0.79065,0.8829,0.80984,0.69839,0.76373,0.8091,0.85641,0.00020425,0.00020425,0.00020425
36,3778.83,0.82256,0.8137,0.89481,0.78803,0.88115,0.8113,0.69509,0.76293,0.8128,0.85528,0.000191875,0.000191875,0.000191875
37,3902.7,0.82198,0.80912,0.89264,0.79493,0.88243,0.81284,0.69795,0.76236,0.80174,0.85474,0.0001795,0.0001795,0.0001795
38,4072.55,0.82286,0.80951,0.89485,0.7891,0.87362,0.81225,0.70064,0.75977,0.79797,0.85361,0.000167125,0.000167125,0.000167125
39,4139.93,0.80971,0.79847,0.89093,0.8003,0.88143,0.81434,0.70331,0.75303,0.79371,0.85169,0.00015475,0.00015475,0.00015475
40,4207.96,0.80864,0.79616,0.89292,0.80051,0.88789,0.81855,0.70718,0.75035,0.78523,0.85227,0.000142375,0.000142375,0.000142375
41,4304.58,0.82387,0.81692,0.89378,0.7803,0.87134,0.80889,0.69501,0.76562,0.79509,0.85489,0.00013,0.00013,0.00013
42,4370.04,0.80204,0.79114,0.88721,0.80042,0.8723,0.81374,0.70366,0.7567,0.78878,0.85234,0.000117625,0.000117625,0.000117625
43,4434.31,0.79542,0.78457,0.88454,0.80456,0.88364,0.81808,0.71041,0.7508,0.77378,0.84949,0.00010525,0.00010525,0.00010525
44,4499,0.79043,0.7739,0.88404,0.79894,0.88574,0.81949,0.71149,0.74913,0.77049,0.84767,9.2875e-05,9.2875e-05,9.2875e-05
45,4563.57,0.78997,0.76566,0.8843,0.80544,0.87291,0.82015,0.71354,0.74344,0.76692,0.84727,8.05e-05,8.05e-05,8.05e-05
46,4628.14,0.78273,0.75971,0.88274,0.81464,0.88288,0.82137,0.71893,0.74288,0.7612,0.84703,6.8125e-05,6.8125e-05,6.8125e-05
47,4692.74,0.77759,0.75526,0.87813,0.80923,0.87849,0.82223,0.72006,0.73791,0.75284,0.84635,5.575e-05,5.575e-05,5.575e-05
48,4757.3,0.77319,0.74655,0.88004,0.80786,0.88054,0.82188,0.72009,0.73825,0.75144,0.84573,4.3375e-05,4.3375e-05,4.3375e-05
49,4821.91,0.77248,0.74038,0.88074,0.81281,0.8759,0.82347,0.72167,0.73353,0.74261,0.84541,3.1e-05,3.1e-05,3.1e-05
50,4886.59,0.76786,0.73523,0.87905,0.81442,0.88191,0.8237,0.72148,0.73185,0.74005,0.84496,1.8625e-05,1.8625e-05,1.8625e-05
